wikidata_id,wiki_en,wiki_ja,pageviews_en_12m,pageviews_ja_12m,wiki_pageviews_12m,popularity
Q11640503,,遍照寺 (京都市),0,1670,1670,0.0046
Q18460218,,遣迎院 (京都市東山区),0,719,719,0.002
Q17221535,,得浄明院,0,1473,1473,0.0041
Q55538275,,長圓寺 (京都市),0,856,856,0.0024
Q11400156,,勝光寺 (京都市),0,352,352,0.001
Q30931103,,三宝寺 (京都市),0,1087,1087,0.003
Q11627693,,西寿寺,0,1222,1222,0.0034
Q11446844,,妙光寺 (京都市),0,2232,2232,0.0061
Q11358677,,上善寺,0,2523,2523,0.007
Q18339120,,福長神社,0,516,516,0.0014
Q115917112,,福田寺 (京都市下京区),0,188,188,0.0005
Q28682504,,荘厳寺 (京都市),0,168,168,0.0005
Q11653663,,長講堂,0,2663,2663,0.0073
Q11646439,,金光寺 (京都市下京区本塩竈町),0,873,873,0.0024
Q65275830,,矢田寺 (京都市),0,1112,1112,0.0031
Q111114346,,,0,0,0,0.0
Q1060966,Sennyū-ji,泉涌寺,3893,39025,42918,0.1182
Q112009114,,,0,0,0,0.0
